id,product_title,pack_size,product_price,rating_count
0,Whisper Ultra Clean Night Wing Sanitary Pads 32CM,14 per pack,$5.86,(41)
1,Royal Umbrella Fragrant Rice,10 kg,$31.16,(180)
2,Meiji Plain Crackers,832 g,$6.92,(115)
3,Tide Original Regular HE Laundry Detergent,4.43 L,$29.90,(43)
4,RedMart Australian Chilled Minced Pork (Freezer Ready Packaging),500 g,$6.70,(13)
5,Mission Tortillas Wrap Wholemeal 8 Per Pack,360 g,$5.35,(13)
6,Love Beauty & Planet Vegan Shampoo Tea Tree Oil and Vetiver Radical Refresher,400 ml,$12.90,(11)
7,Moet & Chandon Brut Imperial Champagne (Limited Edition - 150th Anniversary),750 ml,$69.00,(0)
8,Ben & Jerry's Non-Dairy Chocolate Fudge Brownie Ice Cream,458 ml,$11.92,(1)
9,Dove Dermaseries Gentle Cleansing Body Wash,250 ml,$11.81,(0)
10,NESCAFE GOLD Pure Soluble Coffee 200g (NEW),200 g,$13.91,(1)
11,Kellogg's Coco Pop with We Bare Bear Figurine,400 g,$4.92,(1)
12,Carlsberg Lager Beer 12 X 320Ml,12 × 320 ml,$22.80,(55)
13,Corona Extra Beer - Case,24 × 355 ml,$68.00,(5)
14,Wyeth Nutrition S-26 GOLD PROMISE Stage 4 Growing-up Formula 2'-FL 1.6KG,1.6 kg,$59.14,(8)
15,Canon Business High Grade 80gsm A4 Paper (Carton) - Printer Paper - By Steve and Leif,2500 per pack,$29.00,(5)
16,Walch Antibacterial Hand Wash Moisturizing Twin Pack,2 × 525 ml,$6.95,(8)
17,Coco Life Coconut Water - Case,12 × 330 ml,$13.95,(44)
18,US Red Cherries,250 g,$5.95,(0)
19,Crunchy Fresh Extra Fine Green Beans,150 g,$2.20,(8)
20,Dragonfruits,2 per pack,$2.25,(60)
21,Global Seasons Yellow Flesh Watermelon,4 kg,$5.62,(2)
22,Red Dragon Fruit,1 per pack,$2.30,(97)
23,Prime Asia 2+1 Hass Avocados,3 per pack,$4.95,(168)
24,RedMart German Salami,100 g,$6.00,(0)
25,RedMart Pepperoni Salami,100 g,$6.00,(0)
26,RedMart Grass Fed Angus Beef Sirloins (2 pcs) - New Zealand,500 g,$23.50,(26)
27,RedMart Grass Fed Angus Ribeye Beef (2 pcs) - New Zealand,500 g,$26.00,(73)
28,RedMart Grassfed New Zealand Lamb French Rack - New Zealand,450 g,$15.57,(27)
29,World's Cellar Champagne Brut,750 ml,$46.36,(1)
30,Casillero del Diablo Sauvignon Blanc,750 ml,$24.37,(0)
31,Casillero del Diablo Summer Edition Rosé,750 ml,$24.37,(0)
32,Casillero del Diablo Pinot Noir,750 ml,$24.37,(4)
33,Casillero del Diablo Carmenere,750 ml,$24.37,(3)
34,Casillero del Diablo Pinot Grigio,750 ml,$24.37,(1)
35,Casillero del Diablo Chardonnay,750 ml,$24.37,(1)
36,Agromar Cabrales Blue Cheese Pate,100 g,$12.50,(0)
37,SONS Burrata Cheese,120 g,$8.90,(10)
38,Jones The Grocer Barbers Vintage Cheddar Cheese,150 g,$10.20,(0)
39,Societe Caves Baragnaudes Roquefort PDO - By Le Petit Depot,150 g,$13.50,(0)
40,Jones The Grocer Brillat Savarin Cheese,150 g,$15.75,(0)
41,The Cheese Shop Cabrales,,$14.00,(0)
42,Persil Anti-Bacterial Low Suds Powder Detergent,4.5 kg,$14.01,(9)
43,Comfort Elegance Luxury Nature Concentrate Fabric Softener,1.6 L,$8.91,(1)
44,Comfort Ultra Blossom Fresh Concentrated Fabric Conditioner Refill Pouch,800 ml,$3.30,(13)
45,Breeze Power Clean Liquid Detergent Refill,1.8 kg,$4.27,(14)
46,Seventh Generation Emerald Cypress And Fir Toilet Bowl Cleaner,946 ml,$8.01,(0)
47,Comfort Touch of Love Fabric Conditioner,5 L,$7.54,(36)
48,Sweet Meadow Creamed Clover Honey,500 g,$15.90,(0)
49,Kellogg's Chocolate Crunchy Oat Granola,380 g,$5.93,(3)
50,Smucker's Sugar Free Orange Marmalade,361 g,$5.31,(0)
51,Kellogg's Crunchy Nut Oat Granola Choco Hazelnut,380 g,$5.93,(14)
52,Kellogg's X Hershey's Choco Crunch,500 g,$17.02,(2)
53,Sainsbury's 100-Percent Smooth Almond Butter,340 g,$9.00,(17)
54,Enfamil A+ Stage 2 Infant Formula Baby Milk Powder (6M+),1.8 kg,$105.55,(27)
55,Pampers Baby Dry Tape Diapers M - Case,4 × 64 per pack,$69.12,(40)
56,Pampers Baby Dry Tape Diapers XL,40 per pack,$24.00,(18)
57,Pampers Baby Dry Tape Diapers Newborn - Case,4 × 90 per pack,$69.12,(17)
58,Pampers Premium Care Tape Diapers M,48 per pack,$21.90,(7)
59,Pampers Premium Care Tape Diapers S,60 per pack,$23.90,(10)
60,Primal Freeze Dried Canine Pork Formula - Value Box,4 × 397 g,$159.90,(0)
61,Cesar Chicken Pate Dog Food,100 g,$1.80,(2)
62,Ginger and Bear Dog Walking - Deluxe Training Pouch - Mocha,1 per pack,$33.00,(1)
63,Whimzees Dog Chew - Stix M,12 per pack,$23.10,(0)
64,Nutrience SubZero Dog Fraser Valley 10KG,10 kg,$170.00,(0)
65,Primal Freeze Dried Canine Pork Formula-14oz,397 g,$88.00,(0)
66,CK 13A 3-Way Adaptor With Neon CK 8396N,1 per pack,$4.90,(0)
67,Sellery 59-018K Nylon Calbe Ties Size:3.6mmx180mm(Black),1 per pack,$3.92,(0)
68,Steve & Leif Child Safety Gate Extension (20CM),1 per pack,$29.90,(0)
69,3M Comfort Grip Glove L (Yellow),1 per pack,$10.90,(0)
70,3M Comfort Grip Glove L (Green),1 per pack,$10.90,(0)
71,3M Comfort Grip Glove L (Blue),1 per pack,$10.90,(0)
72,Pukka Herbal Ayurveda Pukka Organic Majestic Matcha Chai Latte (4 x 90 g) - By Wholesome Harvest,90 g,$18.90,(0)
73,GardenScent Organic Elder Flowers Tea,50 g,$12.80,(0)
